抽象クラスを継承した具象クラスの義務は何か？	抽象メソッドをすべてオーバーライドする義務がある。<br><br>具象クラス（普通のクラス）は完全な設計図でなければならないため、親が残した抽象メソッドをすべて具体的なメソッドとして実装する必要があります。1つでも実装し忘れると、そのクラス自身も抽象クラスとして扱われてしまいます。	java 抽象クラス 具象クラス Chapter5
変数の型が抽象クラスでも中身が具象クラスならどちらの実装が動くか？	中身の具象クラス側の実装。<br><br>`Shape s = new Circle();`のように、変数の型が抽象クラスでも、実際に`new`したのが`Circle`なら、`s.area()`を呼んだときは`Circle`の`area()`が実行されます。これは「多態性（ポリモーフィズム）」の核心で、親型で共通に扱いつつ、振る舞いは実オブジェクトに応じて変わります。	java 抽象クラス 多態性 Chapter5
オーバーライドで一致させなければならないものは何か？	メソッド名と引数の型・個数・順番（シグニチャ）。<br><br>オーバーライドは「親クラスのメソッドを子クラスで置き換える」ことなので、シグニチャ（メソッド名＋引数リスト）が完全に一致していなければなりません。少しでも違うとコンパイラは別メソッド（オーバーロード）とみなし、オーバーライドになりません。	java オーバーライド シグニチャ Chapter5
オーバーライド時の戻り値型は原則どうしなければならないか？	親と同じ戻り値型にする。<br><br>親メソッドとの互換性を保つため、基本的には戻り値型も同じにする必要があります。呼び出し側は「親の型の戻り値が返ってくる」と期待しているため、互換性を崩すような型変更は許されません。	java オーバーライド 戻り値 Chapter5
参照型のオーバーライドで許される戻り値型の例外は何か？	親の戻り値型のサブクラスに狭めることは許される。<br><br>参照型の場合に限り、親が`Animal`を返し、子がそのサブクラス`Dog`を返すといった「共変戻り値」が認められています。呼び出し側から見れば`Animal`として扱えるので互換性は保たれつつ、より具体的な型を返せるメリットがあります。	java オーバーライド 共変戻り値 Chapter5
オーバーライド時、アクセス修飾子について守るべきルールは何か？	親より狭いアクセス修飾子にはできない。<br><br>親が`public`で公開していたメソッドを、子クラスで`protected`や`private`に狭めてしまうと、「親型として見たときに呼べていたメソッドが呼べなくなる」矛盾が生じます。そのため、アクセスレベルは同じかより広くしか変更できません。	java オーバーライド アクセス修飾子 Chapter5
`static`メソッドはオーバーライドできるか？	オーバーライドできない。<br><br>`static`メソッドはクラスに属するメソッドであり、インスタンスに結びついていません。そのため多態性の対象にはならず、同じシグニチャで定義しても「隠蔽（hiding）」と呼ばれる別の扱いになり、本当の意味でのオーバーライドにはなりません。	java static オーバーライド Chapter5
`final`メソッドはオーバーライドできるか？	オーバーライドできない。<br><br>`final`メソッドは「サブクラスでこの振る舞いを変えてほしくない」という意図を示すものです。設計者が重要なロジックを固定したいときに使い、サブクラスはそのメソッドを上書きできません。	java final オーバーライド Chapter5
親子で同名フィールドを持つとき、どちらのフィールドが参照されるかを決めるのは何か？	変数の型。<br><br>フィールド参照は多態性の対象ではなく、「変数の宣言型」でどちらのフィールドを見るかが決まります。`Parent p = new Child();`として`p.name`を読むと、実オブジェクトが`Child`でも`Parent`の`name`が参照される点が重要です。<br><br>例：<code>class Parent { String name = "parent"; } class Child extends Parent { String name = "child"; } Parent p = new Child(); System.out.println(p.name); // parent</code>	java フィールド 参照 変数型 Chapter5
同じ状況で、どちらのメソッド実装が呼ばれるかを決めるのは何か？	実オブジェクトの型。<br><br>メソッド呼び出しは多態性の対象なので、`Parent p = new Child(); p.getName();`のような場合には`Child`でオーバーライドされた実装が呼ばれます。フィールドは変数型、メソッドは実オブジェクト型で決まるという対比をセットで覚えると混乱しにくくなります。<br><br>例：<code>class Parent { String getName() { return "parent"; } } class Child extends Parent { String getName() { return "child"; } } Parent p = new Child(); System.out.println(p.getName()); // child</code>	java メソッド 多態性 Chapter5
ポリモーフィズム（多態性）とは何か？	親型の変数に複数の子クラスインスタンスを入れて共通操作を扱うこと。<br><br>例えば`Animal a = new Dog(); a = new Cat();`のように、親型`Animal`の変数にさまざまなサブクラスのインスタンスを代入し、「`move()`や`eat()`など共通のメソッド」を同じコードで扱うことを多態性と呼びます。これにより、拡張に強い柔軟な設計が可能になります。<br><br>例：<code>Animal a = new Dog(); a.move(); a = new Cat(); a.move(); // どちらもAnimalとして扱える</code>	java 多態性 Chapter5
`Animal a = new Dog();`で`a`から呼び出せるメソッドは何に依存するか？	変数aの型`Animal`に宣言されているメソッド。<br><br>コンパイラは「変数の型」しか見ないため、`Dog`固有の`bark()`メソッドは`a.bark()`とは書けません。`a`はあくまで`Animal`として見えているので、`Animal`に宣言されているメソッドだけが呼び出し候補になります。	java 多態性 変数型 Chapter5
実際にどの実装が動くかは何に依存するか？	実オブジェクトの型。<br><br>`a.move()`のような呼び出しでは、変数の型`Animal`に対して定義されたメソッドが呼ばれますが、実際に実行されるコードは中身の`Dog`や`Cat`がそれぞれオーバーライドしたものです。「呼べるかどうか」は変数型、「どれが動くか」は実オブジェクト型で決まる二段構えです。	java 多態性 実オブジェクト Chapter5
インタフェース型`Drawable[]`の配列要素に代入できるインスタンスはどんなクラスか？	`Drawable`を実装しているクラスのインスタンス。<br><br>配列`Drawable[] arr`には、`Drawable`インタフェースを実装している`Circle`や`Square`などのインスタンスを安全に代入できます。配列要素も「その型に代入して安全か？」という代入互換性のルールに従います。	java インタフェース 配列 Chapter5
インタフェースと無関係なクラスのインスタンスをそのインタフェース型配列に代入するとどうなるか？	コンパイルエラーになる。<br><br>`Dog`クラスが`Drawable`を実装していないのに、`Drawable[]`配列に`new Dog()`を入れようとすると、型の親子関係や実装関係がないためコンパイルエラーになります。「見た目が似ていても、インタフェース実装関係がなければ別物」という意識が重要です。	java インタフェース 配列 代入互換性 Chapter5
アップキャストとはどの方向の型変換か？	子クラスから親クラスへの型変換。<br><br>`Dog`から`Animal`のように、より一般的な型（親側）に変換することをアップキャストと呼びます。継承関係上、親型として扱っても常に安全なので、キャストを書かなくても自動的に行われます。<br><br>例：<code>Dog d = new Dog(); Animal a = d; // 暗黙のアップキャスト</code>	java アップキャスト Chapter5
アップキャストは安全性と記述の点でどのように扱われるか？	常に安全で自動的に行われる。<br><br>子クラスのインスタンスは必ず親クラスの性質を満たしているため、「親として扱う」ことは型安全です。そのためコンパイラは暗黙的にアップキャストを許可し、明示的なキャスト指定は不要です。<br><br>例：<code>Animal a = new Dog(); // 追加のキャストは不要</code>	java アップキャスト 安全 Chapter5
ダウンキャストとはどの方向の型変換か？	親クラスから子クラスへの型変換。<br><br>`Animal`型の変数を`Dog`型として扱い直すような変換をダウンキャストと呼びます。実際の中身が`Dog`であるとは限らないため、危険があり、必ず明示的なキャストを書く必要があります。<br><br>例：<code>Animal a = new Dog(); Dog d = (Dog) a; // 明示的ダウンキャスト</code>	java ダウンキャスト Chapter5
ダウンキャストに必要な構文上の指定は何か？	明示的なキャスト指定が必要。<br><br>`Animal a = new Dog(); Dog d = (Dog) a;`のように、ダウンキャストではキャスト先の型をカッコ付きで明示しなければなりません。これは「本当にその型である」という開発者側の責任を示すサインでもあります。<br><br>例：<code>Dog d = (Dog) a; // (Dog)を書かないとコンパイルエラー</code>	java ダウンキャスト キャスト Chapter5
`ClassCastException`はどのようなときに発生するか？	実際の中身の型とキャスト先の型が一致しないとき。<br><br>`Animal a = new Cat(); Dog d = (Dog) a;`のように、変数の静的型的には「Dogにキャストしてもよさそう」に見えても、中身が`Cat`であれば実行時に`ClassCastException`が発生します。コンパイル時には完全には検出できない典型的な実行時エラーです。<br><br>例：<code>Animal a = new Cat(); Dog d = (Dog) a; // 実行時にClassCastException</code>	java ClassCastException Chapter5
`ClassCastException`を防ぐ代表的な方法は何か？	キャスト前に`instanceof`で実際の型を確認すること。<br><br>`if (a instanceof Dog) { Dog d = (Dog) a; }`のように、実際のオブジェクトがキャスト先の型と両立するかどうかを事前に確認してからキャストするのが定番パターンです。これにより不正なダウンキャストを防ぎ、`ClassCastException`の発生を避けられます。<br><br>例：<code>if (a instanceof Dog) { Dog d = (Dog) a; }</code>	java instanceof ClassCastException Chapter5
コンストラクタ引数とフィールド名が同じとき、`name = name;`が意味するのは何か？	引数nameに引数nameを代入しているだけ。<br><br>スコープのルールにより、何も修飾しない`name`は一番近い引数の`name`を指します。そのため`name = name;`は「引数に自分自身を代入している」だけで、フィールドは一切触られておらず、フィールドの初期化に失敗します。	java this フィールド 初期化 Chapter5
引数と同名のフィールドに値を代入する正しい書き方は何か？	`this.name = name;`。<br><br>`this.name`と書くことで「このインスタンスのフィールド`name`」を明示でき、右辺の引数`name`から値をコピーできます。コンストラクタやセッターでフィールドと引数の名前をそろえる場合は、`this.`を付ける習慣をつけるとバグを防げます。	java this フィールド 代入 Chapter5
`this`は何を指す特別な変数か？	自分自身のインスタンスを指す特別な変数。<br><br>`this`はインスタンスメソッドやコンストラクタの内部で使える隠れた変数で、そのメソッドを呼び出しているオブジェクト自身を指します。フィールドや他のメソッドを「このインスタンスのもの」として参照するときに使います。	java this Chapter5
インスタンス生成時のコンストラクタ呼び出し順序はどうなるか？	親クラスのコンストラクタが先に実行され、その後子クラスのコンストラクタが実行される。<br><br>オブジェクト生成時には、まず土台である親クラス部分を初期化し、その上に子クラスの初期化を積み上げていきます。このため、必ず「親 → 子」の順番でコンストラクタが呼ばれ、フィールドの初期化も上位クラスから順に行われます。<br><br>例：<code>new Child(); // Parentのコンストラクタ → Childのコンストラクタ の順に呼ばれる</code>	java コンストラクタ 継承 順序 Chapter5
子クラスのコンストラクタ1行目では必ず何が起きるか？	親クラスのコンストラクタ呼び出しが行われる。<br><br>コンストラクタの1行目では必ず`super(...)`か`this(...)`のいずれかが呼ばれます。何も書かない場合はコンパイラが暗黙に`super();`を挿入し、引数なし親コンストラクタを呼び出します。<br><br>例：<code>class Child extends Parent { Child() { /* 実際には先頭でsuper();が呼ばれる */ } }</code>	java super コンストラクタ Chapter5
親クラスに引数付きコンストラクタしかない場合、子クラス側で必要なことは何か？	明示的に`super(引数...)`をコンストラクタ先頭で呼び出すこと。<br><br>親にデフォルトコンストラクタ（引数なし）が存在しないのに`super();`を呼ぼうとするとコンパイルエラーになります。この場合、子クラスのコンストラクタで適切な引数を渡した`super(…)`呼び出しを明示的に1行目に書く必要があります。<br><br>例：<code>class Parent { Parent(int x) { } } class Child extends Parent { Child() { super(0); } }</code>	java super 引数付きコンストラクタ Chapter5
`this(...)`と`super(...)`はコンストラクタ内のどこで呼び出せるか？	コンストラクタの先頭行でしか呼び出せない。<br><br>コンストラクタチェーンは「どのコンストラクタを経由して最終的に親クラスまでつなぐか」を明確にする必要があるため、`this(...)`と`super(...)`は必ず1行目に書かなければなりません。途中の行から呼ぶことはできません。<br><br>例：<code>Child() { this(0); } Child(int x) { super(x); }</code>	java this super 先頭 Chapter5
1つのコンストラクタ内で`this(...)`と`super(...)`を同時に書けるか？	同時には書けない。<br><br>1つのコンストラクタが同時に「別の自分のコンストラクタ」と「親のコンストラクタ」の両方を直接呼ぶことはできません。どちらか一方だけを先頭で呼び、`this(...)`で別コンストラクタに委譲した先で`super(...)`を呼ぶ、といった一方向の経路にする必要があります。<br><br>例：<code>// NG: Child() { this(); super(); }</code>	java this super 排他 Chapter5
クラスに`final`を付けるとどのような制約になるか？	そのクラスを継承できなくなる。<br><br>`final class Utility { ... }`のように宣言すると、そのクラスを親としてサブクラスを作ることができなくなります。設計を固定したいクラスや、拡張されると困るユーティリティクラスなどで使われます。	java final クラス Chapter5
メソッドに`final`を付けるとどのような制約になるか？	子クラスからオーバーライドできなくなる。<br><br>`final`メソッドは「この処理は絶対に変えないでほしい」という意図を示します。ログ出力やセキュリティチェックなど、サブクラスに勝手に上書きされたくない重要な処理に付けることが多いです。	java final メソッド Chapter5
フィールドに`final`を付けると代入の回数はどうなるか？	一度だけ値を代入できるフィールドになる。<br><br>`final`フィールドには、宣言時かコンストラクタのどこか1箇所でだけ値を設定でき、その後は変更できません。これにより「作った後は変わらない値」を表現でき、不変性を利用した安全な設計につながります。	java final フィールド Chapter5
`public static final`フィールドはどのような用途で使われやすいか？	定数として使われやすい。<br><br>`public static final double PI = 3.14159;`のように、クラス共通で変わらない値を表すときによく使われます。`public`でどこからでも参照でき、`static`でクラス共有、`final`で変更不可、という性質を組み合わせた典型的な定数パターンです。	java 定数 final static Chapter5
`final`キーワードの共通イメージは何か？	これ以上変更や上書きをさせないブレーキ。<br><br>`final`はクラス・メソッド・フィールドのいずれに付けても、「これ以上いじらせない」という制限をかけるキーワードです。継承禁止・オーバーライド禁止・再代入禁止という3つの場面で同じ発想で覚えておくと理解しやすくなります。	java final イメージ Chapter5
sealedクラスとは継承に関してどのような仕組みか？	継承できるクラスをあらかじめ限定する仕組み。<br><br>`sealed class Shape permits Circle, Rectangle { ... }`のように宣言することで、「`Shape`を継承できるのはこのクラスたちだけ」とコンパイラレベルで制限できます。これにより、扱うバリエーションが限定された階層を安全に表現できます。<br><br>例：<code>public sealed class Shape permits Circle, Rectangle { }</code>	java sealed クラス Chapter5
sealedクラス宣言で`permits`句は何を指定するか？	そのsealedクラスを継承してよいサブクラスの一覧を指定する。<br><br>`permits Circle, Rectangle`の部分で、`Shape`を継承してよいクラスを列挙します。列挙されていないクラスは`Shape`を継承できず、パターンが限定された設計であることをコンパイラが保証してくれます。<br><br>例：<code>sealed class Shape permits Circle, Rectangle { }</code>	java sealed permits Chapter5
sealedクラスを継承したサブクラスが必ず指定しなければならない3つの修飾子は何か？	`final`・`sealed`・`non-sealed` のいずれか。<br><br>sealedクラスから派生するそれぞれのサブクラスは、「ここで打ち止め（`final`）」「さらに限定を続ける（`sealed`）」「ここからは制限解除（`non-sealed`）」のいずれかを必ず選んで宣言しなければなりません。これにより継承ツリー全体の形が明示的になります。	java sealed サブクラス Chapter5
sealedクラスを継承したサブクラスで`final`を指定するとどうなるか？	そのクラス以降の継承が禁止される。<br><br>`final class Circle extends Shape { ... }`のようにすると、`Circle`をさらに継承するクラスは作れません。sealedな世界の中で「この枝はここで終わり」ということを明確に示します。	java sealed final Chapter5
sealedクラスを継承したサブクラスで`non-sealed`を指定するとどうなるか？	そこから先は自由に継承してよい。<br><br>`non-sealed class Polygon extends Shape { ... }`のようにすると、`Polygon`から先は通常のクラスと同様に制限なく継承できます。sealedな制限付き世界から「ここ以降は制限を外します」と宣言する役割です。	java sealed non-sealed Chapter5
sealedインタフェースは何を制限するための仕組みか？	実装できるクラスをあらかじめ限定する仕組み。<br><br>sealedクラスと同じ発想で、どのクラスがそのインタフェースを実装できるかを`permits`で限定する仕組みです。コマンドの種類など、想定されるパターンが決まっているインタフェースで使うと、安全な分岐処理を書きやすくなります。	java sealed インタフェース Chapter5
